CurrentDensity[mA/cm^2],CellVoltage[V]
0.5057237921299642,1.2535941228889966
-16.903534499173283,1.2135941228889968
-34.26610247338509,1.1735941228889966
-51.560641793611765,1.1335941228889967
-68.7660731647089,1.0935941228889967
-85.86170452254186,1.0535941228889967
-102.82740759961348,1.0135941228889966
-119.64384683978452,0.9735941228889967
-136.29275608275228,0.9335941228889968
-152.75724952384414,0.8935941228889966
-169.0221459515933,0.8535941228889967
-185.07428070708343,0.8135941228889967
-200.90277857611903,0.7735941228889966
-216.4992620551558,0.7335941228889967
-231.85797220843338,0.6935941228889967
-246.97578411259653,0.6535941228889968
-261.85210729109855,0.6135941228889967
-276.48867424795,0.5735941228889967
-290.8892350811261,0.5335941228889968
-305.0591888173248,0.4935941228889967
-319.0051885132848,0.45359412288899675
-332.7347558279205,0.4135941228889967
-346.2559331522637,0.37359412288899674
-359.5769906780072,0.3335941228889968
-372.70619520278274,0.29359412288899667
-385.6516391286816,0.25359412288899674
